week_day,date,temp_low1,time1,temp_high1,temp_low2,time2,temp_high2,temp_low3,time3,temp_high3,temp_low4,time4,temp_high4
Mon, Jul 1,73,12am,75,77,6am,90,91,12pm,93,81,6pm,91
Tue, Jul 2,75,12am,82,79,6am,90,91,12pm,93,81,6pm,91
Wed, Jul 3,75,12am,79,77,6am,90,84,12pm,90,75,6pm,82
Thu, Jul 4,72,12am,75,73,6am,90,90,12pm,91,81,6pm,88
Fri, Jul 5,75,12am,81,75,6am,91,91,12pm,93,81,6pm,91
Sat, Jul 6,75,12am,79,77,6am,91,93,12pm,97,81,6pm,91
Sun, Jul 7,75,12am,81,79,6am,88,72,12pm,88,73,6pm,84
Mon, Jul 8,73,12am,73,73,6am,88,88,12pm,93,81,6pm,88
Tue, Jul 9,75,12am,81,79,6am,91,93,12pm,97,82,6pm,93
Wed, Jul 10,79,12am,82,79,6am,90,91,12pm,93,81,6pm,90
Thu, Jul 11,79,12am,79,79,6am,90,84,12pm,93,79,6pm,82
Fri, Jul 12,77,12am,81,79,6am,88,90,12pm,93,81,6pm,90
Sat, Jul 13,75,12am,79,75,6am,86,77,12pm,81,77,6pm,81
Sun, Jul 14,75,12am,75,75,6am,88,79,12pm,90,73,6pm,79
Mon, Jul 15,73,12am,75,75,6am,84,82,12pm,88,79,6pm,81
Tue, Jul 16,75,12am,79,77,6am,88,90,12pm,91,73,6pm,90
Wed, Jul 17,75,12am,79,79,6am,88,88,12pm,91,79,6pm,90
Thu, Jul 18,75,12am,79,79,6am,88,79,12pm,91,81,6pm,90
Fri, Jul 19,79,12am,81,81,6am,86,82,12pm,88,77,6pm,84
Sat, Jul 20,73,12am,75,75,6am,88,75,12pm,91,73,6pm,79
Sun, Jul 21,73,12am,75,75,6am,86,84,12pm,88,79,6pm,84
Mon, Jul 22,75,12am,79,75,6am,88,84,12pm,90,79,6pm,88
Tue, Jul 23,73,12am,77,73,6am,77,75,12pm,82,70,6pm,81
Wed, Jul 24,63,12am,70,64,6am,82,82,12pm,86,70,6pm,81
Thu, Jul 25,63,12am,68,64,6am,84,84,12pm,88,72,6pm,84
Fri, Jul 26,68,12am,72,73,6am,84,86,12pm,90,77,6pm,88
Sat, Jul 27,73,12am,79,73,6am,88,90,12pm,93,75,6pm,88
Sun, Jul 28,70,12am,73,72,6am,88,90,12pm,91,75,6pm,90
Mon, Jul 29,70,12am,73,72,6am,90,90,12pm,91,73,6pm,90
Tue, Jul 30,70,12am,73,73,6am,86,86,12pm,90,73,6pm,82
Wed, Jul 31,72,12am,75,73,6am,90,79,12pm,91,73,6pm,79
Thu, Aug 1,70,12am,72,72,6am,90,75,12pm,91,75,6pm,81
Fri, Aug 2,72,12am,75,73,6am,88,75,12pm,88,75,6pm,82
Sat, Aug 3,73,12am,75,73,6am,88,77,12pm,81,73,6pm,79
Sun, Aug 4,70,12am,72,72,6am,88,84,12pm,91,70,6pm,79
Mon, Aug 5,66,12am,70,68,6am,82,84,12pm,90,73,6pm,86
Tue, Aug 6,70,12am,73,72,6am,88,91,12pm,91,77,6pm,90
Wed, Aug 7,75,12am,77,75,6am,91,93,12pm,95,73,6pm,90
Thu, Aug 8,72,12am,73,73,6am,82,84,12pm,88,79,6pm,86
Fri, Aug 9,75,12am,81,75,6am,90,90,12pm,93,81,6pm,88
Sat, Aug 10,73,12am,77,75,6am,88,81,12pm,88,81,6pm,86
Sun, Aug 11,77,12am,79,77,6am,91,93,12pm,97,81,6pm,91
Mon, Aug 12,73,12am,77,75,6am,93,95,12pm,99,82,6pm,93
Tue, Aug 13,77,12am,81,79,6am,97,97,12pm,10,79,6pm,97
Wed, Aug 14,75,12am,79,77,6am,90,91,12pm,93,79,6pm,90
Thu, Aug 15,73,12am,77,73,6am,91,93,12pm,95,75,6pm,91
Fri, Aug 16,66,12am,75,70,6am,91,93,12pm,97,75,6pm,91
Sat, Aug 17,66,12am,73,70,6am,97,97,12pm,10,82,6pm,95
Sun, Aug 18,75,12am,79,75,6am,97,97,12pm,97,84,6pm,93
Mon, Aug 19,81,12am,84,81,6am,88,88,12pm,97,75,6pm,84
Tue, Aug 20,73,12am,75,73,6am,91,90,12pm,93,77,6pm,88
Wed, Aug 21,75,12am,75,75,6am,88,84,12pm,93,75,6pm,81
Thu, Aug 22,73,12am,75,73,6am,84,88,12pm,93,81,6pm,88
Fri, Aug 23,75,12am,81,75,6am,90,77,12pm,91,77,6pm,82
Sat, Aug 24,73,12am,75,73,6am,90,75,12pm,93,75,6pm,77
Sun, Aug 25,73,12am,75,73,6am,79,77,12pm,81,73,6pm,77
Mon, Aug 26,72,12am,73,72,6am,73,73,12pm,75,73,6pm,75
Tue, Aug 27,73,12am,75,75,6am,84,73,12pm,90,73,6pm,75
Wed, Aug 28,72,12am,75,72,6am,84,88,12pm,88,72,6pm,82
Thu, Aug 29,64,12am,70,64,6am,82,84,12pm,88,66,6pm,81
Fri, Aug 30,61,12am,64,63,6am,84,88,12pm,90,75,6pm,86
Sat, Aug 31,68,12am,75,72,6am,88,88,12pm,91,77,6pm,86
Sun, Sep 1,72,12am,75,72,6am,84,86,12pm,91,75,6pm,82
Mon, Sep 2,72,12am,73,72,6am,88,90,12pm,91,75,6pm,88
Tue, Sep 3,70,12am,75,72,6am,90,91,12pm,93,75,6pm,88
Wed, Sep 4,70,12am,73,72,6am,91,91,12pm,93,79,6pm,90
Thu, Sep 5,72,12am,75,73,6am,90,90,12pm,91,72,6pm,84
Fri, Sep 6,63,12am,70,63,6am,82,86,12pm,91,75,6pm,86
Sat, Sep 7,72,12am,73,72,6am,91,93,12pm,95,77,6pm,90
Sun, Sep 8,73,12am,79,72,6am,90,91,12pm,93,72,6pm,88
Mon, Sep 9,70,12am,72,70,6am,93,93,12pm,97,82,6pm,90
Tue, Sep 10,79,12am,82,77,6am,91,93,12pm,95,81,6pm,91
Wed, Sep 11,77,12am,81,77,6am,90,79,12pm,93,75,6pm,82
Thu, Sep 12,72,12am,75,72,6am,91,91,12pm,97,77,6pm,88
Fri, Sep 13,72,12am,77,73,6am,97,97,12pm,99,81,6pm,90
Sat, Sep 14,73,12am,82,73,6am,86,88,12pm,90,77,6pm,86
Sun, Sep 15,75,12am,79,73,6am,88,90,12pm,93,75,6pm,90
Mon, Sep 16,72,12am,75,72,6am,93,93,12pm,97,75,6pm,88
Tue, Sep 17,70,12am,73,70,6am,95,95,12pm,99,79,6pm,90
Wed, Sep 18,73,12am,75,72,6am,93,93,12pm,97,81,6pm,91
Thu, Sep 19,73,12am,79,73,6am,84,86,12pm,90,75,6pm,82
Fri, Sep 20,70,12am,75,70,6am,81,82,12pm,88,72,6pm,82
Sat, Sep 21,66,12am,73,66,6am,82,84,12pm,90,70,6pm,82
Sun, Sep 22,64,12am,70,68,6am,86,88,12pm,90,70,6pm,82
Mon, Sep 23,64,12am,68,64,6am,88,90,12pm,91,81,6pm,88
Tue, Sep 24,73,12am,81,72,6am,88,88,12pm,93,66,6pm,81
Wed, Sep 25,63,12am,66,64,6am,90,91,12pm,95,77,6pm,90
Thu, Sep 26,72,12am,75,73,6am,91,91,12pm,93,75,6pm,84
Fri, Sep 27,73,12am,79,75,6am,93,91,12pm,95,81,6pm,91
Sat, Sep 28,73,12am,79,75,6am,90,91,12pm,95,81,6pm,86
Sun, Sep 29,75,12am,81,75,6am,91,91,12pm,97,79,6pm,90
Mon, Sep 30,72,12am,75,72,6am,93,93,12pm,97,77,6pm,90
Tue, Oct 1,72,12am,75,72,6am,93,95,12pm,99,79,6pm,90
Wed, Oct 2,75,12am,81,75,6am,93,95,12pm,99,79,6pm,90
Thu, Oct 3,73,12am,79,73,6am,97,97,12pm,10,81,6pm,93
Fri, Oct 4,72,12am,79,72,6am,95,91,12pm,99,75,6pm,88
Sat, Oct 5,70,12am,75,72,6am,91,81,12pm,97,72,6pm,81
Sun, Oct 6,70,12am,72,70,6am,81,81,12pm,86,75,6pm,81
Mon, Oct 7,73,12am,73,66,6am,73,72,12pm,75,66,6pm,72
Tue, Oct 8,63,12am,64,63,6am,73,77,12pm,81,63,6pm,72
Wed, Oct 9,61,12am,66,66,6am,79,79,12pm,84,72,6pm,75
Thu, Oct 10,66,12am,70,66,6am,77,81,12pm,82,73,6pm,79
Fri, Oct 11,66,12am,72,66,6am,81,82,12pm,84,72,6pm,81
Sat, Oct 12,59,12am,70,57,6am,63,63,12pm,64,59,6pm,64
Sun, Oct 13,59,12am,61,59,6am,66,55,12pm,66,54,6pm,55
Mon, Oct 14,54,12am,54,54,6am,66,70,12pm,73,64,6pm,66
Tue, Oct 15,64,12am,66,66,6am,72,70,12pm,72,70,6pm,70
Wed, Oct 16,68,12am,70,63,6am,66,61,12pm,70,52,6pm,59
Thu, Oct 17,45,12am,48,43,6am,61,63,12pm,66,48,6pm,57
Fri, Oct 18,46,12am,52,48,6am,61,63,12pm,64,61,6pm,61
Sat, Oct 19,61,12am,61,57,6am,61,57,12pm,59,57,6pm,59
Sun, Oct 20,57,12am,59,55,6am,63,66,12pm,73,64,6pm,66
Mon, Oct 21,64,12am,64,64,6am,75,70,12pm,75,68,6pm,72
Tue, Oct 22,59,12am,66,57,6am,68,64,12pm,72,48,6pm,61
Wed, Oct 23,43,12am,46,43,6am,68,64,12pm,72,50,6pm,59
Thu, Oct 24,46,12am,50,52,6am,70,70,12pm,73,63,6pm,66
Fri, Oct 25,61,12am,64,57,6am,61,61,12pm,63,63,6pm,64
Sat, Oct 26,66,12am,73,72,6am,73,73,12pm,75,59,6pm,73
Sun, Oct 27,57,12am,59,57,6am,61,61,12pm,63,50,6pm,59
Mon, Oct 28,46,12am,52,48,6am,66,64,12pm,73,54,6pm,63
Tue, Oct 29,54,12am,54,54,6am,63,64,12pm,68,64,6pm,70
Wed, Oct 30,68,12am,70,70,6am,73,70,12pm,73,72,6pm,73
Thu, Oct 31,72,12am,73,46,6am,73,41,12pm,46,36,6pm,41
Fri, Nov 1,32,12am,34,30,6am,48,48,12pm,57,37,6pm,46
Sat, Nov 2,34,12am,37,34,6am,54,54,12pm,61,39,6pm,48
Sun, Nov 3,34,12am,39,36,6am,61,50,12pm,63,39,6pm,46
Mon, Nov 4,39,12am,46,46,6am,57,54,12pm,61,52,6pm,55
Tue, Nov 5,48,12am,55,48,6am,70,57,12pm,72,46,6pm,55
Wed, Nov 6,45,12am,50,54,6am,72,57,12pm,75,57,6pm,63
Thu, Nov 7,57,12am,63,61,6am,72,61,12pm,72,52,6pm,59
Fri, Nov 8,43,12am,48,39,6am,46,43,12pm,48,32,6pm,37
Sat, Nov 9,30,12am,30,32,6am,55,48,12pm,61,39,6pm,45
Sun, Nov 10,37,12am,39,39,6am,64,54,12pm,66,45,6pm,50
Mon, Nov 11,45,12am,46,45,6am,68,64,12pm,72,57,6pm,63
Tue, Nov 12,34,12am,54,28,6am,34,28,12pm,34,23,6pm,28
Wed, Nov 13,19,12am,21,23,6am,43,43,12pm,48,37,6pm,43
Thu, Nov 14,37,12am,41,39,6am,46,45,12pm,46,43,6pm,43
Fri, Nov 15,43,12am,43,43,6am,45,46,12pm,48,37,6pm,43
Sat, Nov 16,30,12am,37,30,6am,54,46,12pm,61,37,6pm,43
Sun, Nov 17,34,12am,36,36,6am,64,57,12pm,66,39,6pm,50
Mon, Nov 18,36,12am,37,36,6am,57,52,12pm,61,43,6pm,48
Tue, Nov 19,43,12am,45,43,6am,63,59,12pm,66,45,6pm,55
Wed, Nov 20,37,12am,43,37,6am,64,54,12pm,66,48,6pm,52
Thu, Nov 21,45,12am,46,52,6am,63,63,12pm,64,55,6pm,61
Fri, Nov 22,55,12am,59,57,6am,66,63,12pm,64,63,6pm,64
Sat, Nov 23,64,12am,64,61,6am,64,48,12pm,57,46,6pm,48
Sun, Nov 24,43,12am,46,43,6am,54,48,12pm,55,37,6pm,48
Mon, Nov 25,36,12am,37,36,6am,59,54,12pm,63,46,6pm,50
Tue, Nov 26,46,12am,48,48,6am,64,66,12pm,70,64,6pm,66
Wed, Nov 27,66,12am,70,64,6am,73,57,12pm,73,45,6pm,52
Thu, Nov 28,39,12am,45,43,6am,61,54,12pm,63,48,6pm,54
Fri, Nov 29,46,12am,48,46,6am,61,63,12pm,64,61,6pm,63
Sat, Nov 30,57,12am,61,57,6am,73,70,12pm,73,70,6pm,72
Sun, Dec 1,54,12am,68,54,6am,64,52,12pm,64,45,6pm,48
Mon, Dec 2,39,12am,43,39,6am,45,39,12pm,45,37,6pm,39
Tue, Dec 3,36,12am,37,36,6am,45,45,12pm,48,34,6pm,41
Wed, Dec 4,32,12am,34,30,6am,57,52,12pm,63,39,6pm,46
Thu, Dec 5,37,12am,39,36,6am,63,54,12pm,64,43,6pm,52
Fri, Dec 6,45,12am,54,52,6am,57,52,12pm,57,52,6pm,55
Sat, Dec 7,43,12am,50,43,6am,64,61,12pm,66,55,6pm,61
Sun, Dec 8,54,12am,55,54,6am,63,61,12pm,64,57,6pm,61
Mon, Dec 9,59,12am,61,59,6am,68,66,12pm,70,66,6pm,70
Tue, Dec 10,61,12am,70,48,6am,61,37,12pm,48,36,6pm,37
Wed, Dec 11,30,12am,36,30,6am,46,43,12pm,52,34,6pm,39
Thu, Dec 12,34,12am,39,39,6am,55,46,12pm,54,45,6pm,45
Fri, Dec 13,43,12am,45,43,6am,46,46,12pm,48,46,6pm,48
Sat, Dec 14,45,12am,48,45,6am,52,50,12pm,55,43,6pm,46
Sun, Dec 15,45,12am,50,50,6am,61,61,12pm,63,59,6pm,63
Mon, Dec 16,61,12am,63,61,6am,72,70,12pm,72,64,6pm,68
Tue, Dec 17,45,12am,64,39,6am,45,39,12pm,39,36,6pm,39
Wed, Dec 18,28,12am,34,30,6am,45,37,12pm,48,30,6pm,39
Thu, Dec 19,27,12am,30,28,6am,48,41,12pm,55,36,6pm,39
Fri, Dec 20,34,12am,37,36,6am,54,52,12pm,57,50,6pm,52
Sat, Dec 21,48,12am,52,48,6am,54,48,12pm,50,46,6pm,46
Sun, Dec 22,45,12am,46,45,6am,48,46,12pm,48,46,6pm,48
Mon, Dec 23,48,12am,52,52,6am,57,57,12pm,57,52,6pm,57
Tue, Dec 24,45,12am,52,45,6am,66,59,12pm,73,52,6pm,55
Wed, Dec 25,50,12am,55,50,6am,66,57,12pm,70,52,6pm,57
Thu, Dec 26,54,12am,57,54,6am,63,63,12pm,68,52,6pm,61
Fri, Dec 27,54,12am,57,57,6am,63,61,12pm,63,61,6pm,61
Sat, Dec 28,57,12am,61,59,6am,66,64,12pm,66,64,6pm,66
Sun, Dec 29,66,12am,68,66,6am,68,70,12pm,72,57,6pm,70
Mon, Dec 30,48,12am,55,46,6am,54,50,12pm,55,43,6pm,48
Tue, Dec 31,39,12am,43,37,6am,50,48,12pm,54,43,6pm,46